year,sch_id,sch_name,Type,Value
2012,360,Jones Lane ES,Capacity,440
2013,360,Jones Lane ES,Capacity,441
2014,360,Jones Lane ES,Capacity,441
2015,360,Jones Lane ES,Capacity,441
2016,360,Jones Lane ES,Capacity,441
2000,401,Bethesda ES,Capacity,341
2001,401,Bethesda ES,Capacity,341
2002,401,Bethesda ES,Capacity,341
2003,401,Bethesda ES,Capacity,341
2004,401,Bethesda ES,Capacity,364
2005,401,Bethesda ES,Capacity,341
2006,401,Bethesda ES,Capacity,385
2007,401,Bethesda ES,Capacity,384
2008,401,Bethesda ES,Capacity,367
2009,401,Bethesda ES,Capacity,367
2010,401,Bethesda ES,Capacity,384
2011,401,Bethesda ES,Capacity,384
2012,401,Bethesda ES,Capacity,384
2013,401,Bethesda ES,Capacity,384
2014,401,Bethesda ES,Capacity,384
2015,401,Bethesda ES,Capacity,577
2016,401,Bethesda ES,Capacity,559
2000,403,Chevy Chase ES,Capacity,406
2001,403,Chevy Chase ES,Capacity,421
2002,403,Chevy Chase ES,Capacity,421
2003,403,Chevy Chase ES,Capacity,421
2004,403,Chevy Chase ES,Capacity,398
2005,403,Chevy Chase ES,Capacity,421
2006,403,Chevy Chase ES,Capacity,421
2007,403,Chevy Chase ES,Capacity,429
2008,403,Chevy Chase ES,Capacity,429
2009,403,Chevy Chase ES,Capacity,427
2010,403,Chevy Chase ES,Capacity,450
2011,403,Chevy Chase ES,Capacity,450
2012,403,Chevy Chase ES,Capacity,450
2013,403,Chevy Chase ES,Capacity,450
2014,403,Chevy Chase ES,Capacity,473
2015,403,Chevy Chase ES,Capacity,473
2016,403,Chevy Chase ES,Capacity,473
2000,405,Somerset ES,Capacity,276
2001,405,Somerset ES,Capacity,276
2002,405,Somerset ES,Capacity,276
2003,405,Somerset ES,Capacity,276
2004,405,Somerset ES,Capacity,276
2005,405,Somerset ES,Capacity,414
2006,405,Somerset ES,Capacity,457
2007,405,Somerset ES,Capacity,457
2008,405,Somerset ES,Capacity,456
2009,405,Somerset ES,Capacity,433
2010,405,Somerset ES,Capacity,515
2011,405,Somerset ES,Capacity,516
2012,405,Somerset ES,Capacity,515
2013,405,Somerset ES,Capacity,515
2014,405,Somerset ES,Capacity,515
2015,405,Somerset ES,Capacity,515
2016,405,Somerset ES,Capacity,515
2000,406,Bethesda-Chevy Chase HS,Capacity,1530
2001,406,Bethesda-Chevy Chase HS,Capacity,1552.5
2002,406,Bethesda-Chevy Chase HS,Capacity,1552.5
2003,406,Bethesda-Chevy Chase HS,Capacity,1552.5
2004,406,Bethesda-Chevy Chase HS,Capacity,1552.5
2005,406,Bethesda-Chevy Chase HS,Capacity,1552.5
2006,406,Bethesda-Chevy Chase HS,Capacity,1552.5
2007,406,Bethesda-Chevy Chase HS,Capacity,1543.5
2008,406,Bethesda-Chevy Chase HS,Capacity,1543.5
2009,406,Bethesda-Chevy Chase HS,Capacity,1656
2010,406,Bethesda-Chevy Chase HS,Capacity,1665
2011,406,Bethesda-Chevy Chase HS,Capacity,1665
2012,406,Bethesda-Chevy Chase HS,Capacity,1665
2013,406,Bethesda-Chevy Chase HS,Capacity,1692
2014,406,Bethesda-Chevy Chase HS,Capacity,1683
2015,406,Bethesda-Chevy Chase HS,Capacity,1683
2016,406,Bethesda-Chevy Chase HS,Capacity,1683
2000,408,Westbrook ES,Capacity,273
2001,408,Westbrook ES,Capacity,273
2002,408,Westbrook ES,Capacity,273
2003,408,Westbrook ES,Capacity,273
2004,408,Westbrook ES,Capacity,273
2005,408,Westbrook ES,Capacity,250
2006,408,Westbrook ES,Capacity,293
2007,408,Westbrook ES,Capacity,293
2008,408,Westbrook ES,Capacity,269
2009,408,Westbrook ES,Capacity,293
2010,408,Westbrook ES,Capacity,283
2011,408,Westbrook ES,Capacity,283
2012,408,Westbrook ES,Capacity,283
2013,408,Westbrook ES,Capacity,559
2014,408,Westbrook ES,Capacity,554
2015,408,Westbrook ES,Capacity,549
2016,408,Westbrook ES,Capacity,550
2000,410,Bradley Hills ES,Capacity,279
2001,410,Bradley Hills ES,Capacity,312
2002,410,Bradley Hills ES,Capacity,312
2003,410,Bradley Hills ES,Capacity,289
2004,410,Bradley Hills ES,Capacity,299
2005,410,Bradley Hills ES,Capacity,299
2006,410,Bradley Hills ES,Capacity,341
2007,410,Bradley Hills ES,Capacity,341
2008,410,Bradley Hills ES,Capacity,319
2009,410,Bradley Hills ES,Capacity,342
2010,410,Bradley Hills ES,Capacity,341
2011,410,Bradley Hills ES,Capacity,342
2012,410,Bradley Hills ES,Capacity,342
2013,410,Bradley Hills ES,Capacity,663
2014,410,Bradley Hills ES,Capacity,663
2015,410,Bradley Hills ES,Capacity,663
2016,410,Bradley Hills ES,Capacity,663
2000,412,Westland MS,Capacity,884.85
2001,412,Westland MS,Capacity,884.85
2002,412,Westland MS,Capacity,884.85
2003,412,Westland MS,Capacity,876.35
2004,412,Westland MS,Capacity,909.5
2005,412,Westland MS,Capacity,909.5
2006,412,Westland MS,Capacity,909.5
2007,412,Westland MS,Capacity,909.5
2008,412,Westland MS,Capacity,1037
2009,412,Westland MS,Capacity,1037
2010,412,Westland MS,Capacity,1062.5
2011,412,Westland MS,Capacity,1062.5
2012,412,Westland MS,Capacity,1062.5
2013,412,Westland MS,Capacity,1096.5
2014,412,Westland MS,Capacity,1096.5
2015,412,Westland MS,Capacity,1096.5
2016,412,Westland MS,Capacity,1096.5
2000,413,North Bethesda MS,Capacity,850
2001,413,North Bethesda MS,Capacity,850
2002,413,North Bethesda MS,Capacity,850
2003,413,North Bethesda MS,Capacity,850
2004,413,North Bethesda MS,Capacity,850
2005,413,North Bethesda MS,Capacity,850
2006,413,North Bethesda MS,Capacity,850
2007,413,North Bethesda MS,Capacity,850
2008,413,North Bethesda MS,Capacity,850
2009,413,North Bethesda MS,Capacity,867.85
2010,413,North Bethesda MS,Capacity,846.6
2011,413,North Bethesda MS,Capacity,846.6
2012,413,North Bethesda MS,Capacity,846.6
2013,413,North Bethesda MS,Capacity,863.6
2014,413,North Bethesda MS,Capacity,873.8
2015,413,North Bethesda MS,Capacity,863.6
2016,413,North Bethesda MS,Capacity,863.6
2000,415,North Chevy Chase ES,Capacity,276
2001,415,North Chevy Chase ES,Capacity,276
2002,415,North Chevy Chase ES,Capacity,276
2003,415,North Chevy Chase ES,Capacity,276
2004,415,North Chevy Chase ES,Capacity,276
2005,415,North Chevy Chase ES,Capacity,276
2006,415,North Chevy Chase ES,Capacity,276
2007,415,North Chevy Chase ES,Capacity,276
2008,415,North Chevy Chase ES,Capacity,230
2009,415,North Chevy Chase ES,Capacity,230
2010,415,North Chevy Chase ES,Capacity,230
2011,415,North Chevy Chase ES,Capacity,220
2012,415,North Chevy Chase ES,Capacity,220
2013,415,North Chevy Chase ES,Capacity,266
2014,415,North Chevy Chase ES,Capacity,266
2015,415,North Chevy Chase ES,Capacity,358
2016,415,North Chevy Chase ES,Capacity,358
2000,417,Wood Acres ES,Capacity,368
2001,417,Wood Acres ES,Capacity,509
2002,417,Wood Acres ES,Capacity,509
2003,417,Wood Acres ES,Capacity,509
2004,417,Wood Acres ES,Capacity,509
2005,417,Wood Acres ES,Capacity,509
2006,417,Wood Acres ES,Capacity,551
2007,417,Wood Acres ES,Capacity,551
2008,417,Wood Acres ES,Capacity,550
2009,417,Wood Acres ES,Capacity,550
2010,417,Wood Acres ES,Capacity,550
2011,417,Wood Acres ES,Capacity,551
2012,417,Wood Acres ES,Capacity,550
2013,417,Wood Acres ES,Capacity,527
2014,417,Wood Acres ES,Capacity,527
2015,417,Wood Acres ES,Capacity,528
2016,417,Wood Acres ES,Capacity,735
2000,419,Burning Tree ES,Capacity,385
2001,419,Burning Tree ES,Capacity,385
2002,419,Burning Tree ES,Capacity,385
2003,419,Burning Tree ES,Capacity,385
2004,419,Burning Tree ES,Capacity,428
2005,419,Burning Tree ES,Capacity,428
2006,419,Burning Tree ES,Capacity,428
2007,419,Burning Tree ES,Capacity,428
2008,419,Burning Tree ES,Capacity,428
2009,419,Burning Tree ES,Capacity,428
2010,419,Burning Tree ES,Capacity,415
2011,419,Burning Tree ES,Capacity,415
2012,419,Burning Tree ES,Capacity,391
2013,419,Burning Tree ES,Capacity,392
2014,419,Burning Tree ES,Capacity,379
2015,419,Burning Tree ES,Capacity,379
2016,419,Burning Tree ES,Capacity,378
2000,420,Bannockburn ES,Capacity,295
2001,420,Bannockburn ES,Capacity,345
2002,420,Bannockburn ES,Capacity,345
2003,420,Bannockburn ES,Capacity,322
2004,420,Bannockburn ES,Capacity,322
2005,420,Bannockburn ES,Capacity,365
2006,420,Bannockburn ES,Capacity,365
2007,420,Bannockburn ES,Capacity,365
2008,420,Bannockburn ES,Capacity,365
2009,420,Bannockburn ES,Capacity,365
2010,420,Bannockburn ES,Capacity,366
2011,420,Bannockburn ES,Capacity,366
2012,420,Bannockburn ES,Capacity,365
2013,420,Bannockburn ES,Capacity,365
2014,420,Bannockburn ES,Capacity,365
2015,420,Bannockburn ES,Capacity,365
2016,420,Bannockburn ES,Capacity,365
2000,422,Wyngate ES,Capacity,371
2001,422,Wyngate ES,Capacity,371
2002,422,Wyngate ES,Capacity,371
2003,422,Wyngate ES,Capacity,371
2004,422,Wyngate ES,Capacity,371
2005,422,Wyngate ES,Capacity,371
2006,422,Wyngate ES,Capacity,414
2007,422,Wyngate ES,Capacity,412
2008,422,Wyngate ES,Capacity,422
2009,422,Wyngate ES,Capacity,412
2010,422,Wyngate ES,Capacity,421
2011,422,Wyngate ES,Capacity,422
2012,422,Wyngate ES,Capacity,432
2013,422,Wyngate ES,Capacity,777
2014,422,Wyngate ES,Capacity,777
2015,422,Wyngate ES,Capacity,778
2016,422,Wyngate ES,Capacity,777
2000,424,Walter Johnson HS,Capacity,1473.3
2001,424,Walter Johnson HS,Capacity,1500.3
2002,424,Walter Johnson HS,Capacity,1950.3
2003,424,Walter Johnson HS,Capacity,1918.8
2004,424,Walter Johnson HS,Capacity,1900.8
2005,424,Walter Johnson HS,Capacity,1878.3
2006,424,Walter Johnson HS,Capacity,1878.3
2007,424,Walter Johnson HS,Capacity,1905.3
2008,424,Walter Johnson HS,Capacity,1864.8
2009,424,Walter Johnson HS,Capacity,2112.3
2010,424,Walter Johnson HS,Capacity,2152.8
2011,424,Walter Johnson HS,Capacity,2251.8
2012,424,Walter Johnson HS,Capacity,2274.3
2013,424,Walter Johnson HS,Capacity,2345.4
2014,424,Walter Johnson HS,Capacity,2334.6
2015,424,Walter Johnson HS,Capacity,2334.6
2016,424,Walter Johnson HS,Capacity,2334.6
2000,425,Ashburton ES,Capacity,420
2001,425,Ashburton ES,Capacity,420
2002,425,Ashburton ES,Capacity,420
2003,425,Ashburton ES,Capacity,420
2004,425,Ashburton ES,Capacity,420
2005,425,Ashburton ES,Capacity,458
2006,425,Ashburton ES,Capacity,453
2007,425,Ashburton ES,Capacity,452
2008,425,Ashburton ES,Capacity,659
2009,425,Ashburton ES,Capacity,659
2010,425,Ashburton ES,Capacity,634
2011,425,Ashburton ES,Capacity,629
2012,425,Ashburton ES,Capacity,629
2013,425,Ashburton ES,Capacity,628
2014,425,Ashburton ES,Capacity,629
2015,425,Ashburton ES,Capacity,652
2016,425,Ashburton ES,Capacity,651
2000,427,Walt Whitman HS,Capacity,1756.8
2001,427,Walt Whitman HS,Capacity,1756.8
2002,427,Walt Whitman HS,Capacity,1891.8
2003,427,Walt Whitman HS,Capacity,1913.4
2004,427,Walt Whitman HS,Capacity,1913.4
2005,427,Walt Whitman HS,Capacity,1922.4
2006,427,Walt Whitman HS,Capacity,1908.9
2007,427,Walt Whitman HS,Capacity,1890.9
2008,427,Walt Whitman HS,Capacity,1890.9
2009,427,Walt Whitman HS,Capacity,1872.9
2010,427,Walt Whitman HS,Capacity,1827.9
2011,427,Walt Whitman HS,Capacity,1827.9
2012,427,Walt Whitman HS,Capacity,1827.9
2013,427,Walt Whitman HS,Capacity,1881.9
2014,427,Walt Whitman HS,Capacity,1890.9
2015,427,Walt Whitman HS,Capacity,1890.9
2016,427,Walt Whitman HS,Capacity,1863.9
2000,428,Thomas W. Pyle MS,Capacity,1058.25
2001,428,Thomas W. Pyle MS,Capacity,1058.25
2002,428,Thomas W. Pyle MS,Capacity,1062.5
2003,428,Thomas W. Pyle MS,Capacity,1075.25
2004,428,Thomas W. Pyle MS,Capacity,1075.25
2005,428,Thomas W. Pyle MS,Capacity,1075.25
2006,428,Thomas W. Pyle MS,Capacity,1075.25
2007,428,Thomas W. Pyle MS,Capacity,1075.25
2008,428,Thomas W. Pyle MS,Capacity,1266.5
2009,428,Thomas W. Pyle MS,Capacity,1249.5
2010,428,Thomas W. Pyle MS,Capacity,1270.75
2011,428,Thomas W. Pyle MS,Capacity,1270.75
2012,428,Thomas W. Pyle MS,Capacity,1270.75
2013,428,Thomas W. Pyle MS,Capacity,1304.75
2014,428,Thomas W. Pyle MS,Capacity,1289.45
2015,428,Thomas W. Pyle MS,Capacity,1289.45
2016,428,Thomas W. Pyle MS,Capacity,1289.45
2000,501,Sherwood ES,Capacity,317
2001,501,Sherwood ES,Capacity,334
2002,501,Sherwood ES,Capacity,334
2003,501,Sherwood ES,Capacity,334
2004,501,Sherwood ES,Capacity,334
2005,501,Sherwood ES,Capacity,377
2006,501,Sherwood ES,Capacity,377
2007,501,Sherwood ES,Capacity,377
2008,501,Sherwood ES,Capacity,376
2009,501,Sherwood ES,Capacity,377
2010,501,Sherwood ES,Capacity,580
2011,501,Sherwood ES,Capacity,580
2012,501,Sherwood ES,Capacity,568
2013,501,Sherwood ES,Capacity,569
2014,501,Sherwood ES,Capacity,569
2015,501,Sherwood ES,Capacity,564
2016,501,Sherwood ES,Capacity,564
2000,502,Olney ES,Capacity,564
2001,502,Olney ES,Capacity,564
2002,502,Olney ES,Capacity,569
2003,502,Olney ES,Capacity,546
2004,502,Olney ES,Capacity,601
2005,502,Olney ES,Capacity,584
2006,502,Olney ES,Capacity,584
2007,502,Olney ES,Capacity,584
2008,502,Olney ES,Capacity,584
2009,502,Olney ES,Capacity,584
2010,502,Olney ES,Capacity,584
2011,502,Olney ES,Capacity,584
2012,502,Olney ES,Capacity,584
2013,502,Olney ES,Capacity,585
2014,502,Olney ES,Capacity,585
2015,502,Olney ES,Capacity,584
2016,502,Olney ES,Capacity,584
2000,503,Sherwood HS,Capacity,1728.9
2001,503,Sherwood HS,Capacity,1746.9
2002,503,Sherwood HS,Capacity,1711.8
2003,503,Sherwood HS,Capacity,1711.8
2004,503,Sherwood HS,Capacity,1694.7
2005,503,Sherwood HS,Capacity,1702.8
2006,503,Sherwood HS,Capacity,1702.8
2007,503,Sherwood HS,Capacity,2022.3
2008,503,Sherwood HS,Capacity,2022.3
2009,503,Sherwood HS,Capacity,2004.3
2010,503,Sherwood HS,Capacity,2004.3
2011,503,Sherwood HS,Capacity,2013.3
2012,503,Sherwood HS,Capacity,2013.3
2013,503,Sherwood HS,Capacity,2135.7
2014,503,Sherwood HS,Capacity,2166.3
2015,503,Sherwood HS,Capacity,2166.3
2016,503,Sherwood HS,Capacity,2183.4
2000,504,Westover ES,Capacity,283
2001,504,Westover ES,Capacity,283
2002,504,Westover ES,Capacity,296
2003,504,Westover ES,Capacity,296
2004,504,Westover ES,Capacity,285
2005,504,Westover ES,Capacity,306
2006,504,Westover ES,Capacity,298
2007,504,Westover ES,Capacity,298
2008,504,Westover ES,Capacity,298
2009,504,Westover ES,Capacity,281
2010,504,Westover ES,Capacity,304
2011,504,Westover ES,Capacity,293
2012,504,Westover ES,Capacity,293
2013,504,Westover ES,Capacity,293
2014,504,Westover ES,Capacity,293
2015,504,Westover ES,Capacity,293
2016,504,Westover ES,Capacity,283
2000,505,Lucy V. Barnsley ES,Capacity,461
2001,505,Lucy V. Barnsley ES,Capacity,461
2002,505,Lucy V. Barnsley ES,Capacity,461
2003,505,Lucy V. Barnsley ES,Capacity,461
2004,505,Lucy V. Barnsley ES,Capacity,461
2005,505,Lucy V. Barnsley ES,Capacity,503
2006,505,Lucy V. Barnsley ES,Capacity,514
2007,505,Lucy V. Barnsley ES,Capacity,513
2008,505,Lucy V. Barnsley ES,Capacity,514
2009,505,Lucy V. Barnsley ES,Capacity,524
2010,505,Lucy V. Barnsley ES,Capacity,524
2011,505,Lucy V. Barnsley ES,Capacity,416
2012,505,Lucy V. Barnsley ES,Capacity,416
2013,505,Lucy V. Barnsley ES,Capacity,426
2014,505,Lucy V. Barnsley ES,Capacity,404
2015,505,Lucy V. Barnsley ES,Capacity,399
2016,505,Lucy V. Barnsley ES,Capacity,399
2000,506,Flower Valley ES,Capacity,386
2001,506,Flower Valley ES,Capacity,402
2002,506,Flower Valley ES,Capacity,386
2003,506,Flower Valley ES,Capacity,386
2004,506,Flower Valley ES,Capacity,386
2005,506,Flower Valley ES,Capacity,429
2006,506,Flower Valley ES,Capacity,429
2007,506,Flower Valley ES,Capacity,429
2008,506,Flower Valley ES,Capacity,429
2009,506,Flower Valley ES,Capacity,429
2010,506,Flower Valley ES,Capacity,429
2011,506,Flower Valley ES,Capacity,429
2012,506,Flower Valley ES,Capacity,429
2013,506,Flower Valley ES,Capacity,445
2014,506,Flower Valley ES,Capacity,429
2015,506,Flower Valley ES,Capacity,429
2016,506,Flower Valley ES,Capacity,429
2000,507,William H. Farquhar MS,Capacity,846.6
2001,507,William H. Farquhar MS,Capacity,846.6
2002,507,William H. Farquhar MS,Capacity,846.6
2003,507,William H. Farquhar MS,Capacity,846.6
2004,507,William H. Farquhar MS,Capacity,846.6
2005,507,William H. Farquhar MS,Capacity,838.1
2006,507,William H. Farquhar MS,Capacity,838.1
2007,507,William H. Farquhar MS,Capacity,838.1
2008,507,William H. Farquhar MS,Capacity,838.1
2009,507,William H. Farquhar MS,Capacity,850.85
2010,507,William H. Farquhar MS,Capacity,893.35
2011,507,William H. Farquhar MS,Capacity,880.6
2012,507,William H. Farquhar MS,Capacity,880.6
2013,507,William H. Farquhar MS,Capacity,906.1
2014,507,William H. Farquhar MS,Capacity,906.1
2015,507,William H. Farquhar MS,Capacity,906.1
2016,507,William H. Farquhar MS,Capacity,787.1
2000,508,Candlewood ES,Capacity,358
2001,508,Candlewood ES,Capacity,348
2002,508,Candlewood ES,Capacity,358
2003,508,Candlewood ES,Capacity,358
2004,508,Candlewood ES,Capacity,381
2005,508,Candlewood ES,Capacity,401
2006,508,Candlewood ES,Capacity,411
2007,508,Candlewood ES,Capacity,411
2008,508,Candlewood ES,Capacity,411
2009,508,Candlewood ES,Capacity,411
2010,508,Candlewood ES,Capacity,411
2011,508,Candlewood ES,Capacity,434
2012,508,Candlewood ES,Capacity,434
2013,508,Candlewood ES,Capacity,434
2014,508,Candlewood ES,Capacity,550
2015,508,Candlewood ES,Capacity,532
2016,508,Candlewood ES,Capacity,499
2000,51,Laytonsville ES,Capacity,455
2001,51,Laytonsville ES,Capacity,455
2002,51,Laytonsville ES,Capacity,455
2003,51,Laytonsville ES,Capacity,455
2004,51,Laytonsville ES,Capacity,455
2005,51,Laytonsville ES,Capacity,497
2006,51,Laytonsville ES,Capacity,488
2007,51,Laytonsville ES,Capacity,488
2008,51,Laytonsville ES,Capacity,487
2009,51,Laytonsville ES,Capacity,487
2010,51,Laytonsville ES,Capacity,465
2011,51,Laytonsville ES,Capacity,465
2012,51,Laytonsville ES,Capacity,465
2013,51,Laytonsville ES,Capacity,448
2014,51,Laytonsville ES,Capacity,448
2015,51,Laytonsville ES,Capacity,448
2016,51,Laytonsville ES,Capacity,449
2000,510,Col. Zadok Magruder HS,Capacity,1971
2001,510,Col. Zadok Magruder HS,Capacity,1971
2002,510,Col. Zadok Magruder HS,Capacity,2025
2003,510,Col. Zadok Magruder HS,Capacity,2029.5
2004,510,Col. Zadok Magruder HS,Capacity,2029.5
2005,510,Col. Zadok Magruder HS,Capacity,2020.5
2006,510,Col. Zadok Magruder HS,Capacity,1989
2007,510,Col. Zadok Magruder HS,Capacity,1958.4
2008,510,Col. Zadok Magruder HS,Capacity,1944.9
2009,510,Col. Zadok Magruder HS,Capacity,1868.4
2010,510,Col. Zadok Magruder HS,Capacity,1896.3
2011,510,Col. Zadok Magruder HS,Capacity,1896.3
2012,510,Col. Zadok Magruder HS,Capacity,1896.3
2013,510,Col. Zadok Magruder HS,Capacity,1995.3
2014,510,Col. Zadok Magruder HS,Capacity,1995.3
2015,510,Col. Zadok Magruder HS,Capacity,1954.8
2016,510,Col. Zadok Magruder HS,Capacity,1941.3
2000,511,Cashell ES,Capacity,292
2001,511,Cashell ES,Capacity,288
2002,511,Cashell ES,Capacity,288
2003,511,Cashell ES,Capacity,311
2004,511,Cashell ES,Capacity,248
2005,511,Cashell ES,Capacity,288
2006,511,Cashell ES,Capacity,306
2007,511,Cashell ES,Capacity,306
2008,511,Cashell ES,Capacity,306
2009,511,Cashell ES,Capacity,375
2010,511,Cashell ES,Capacity,341
2011,511,Cashell ES,Capacity,341
2012,511,Cashell ES,Capacity,341
2013,511,Cashell ES,Capacity,341
2014,511,Cashell ES,Capacity,341
2015,511,Cashell ES,Capacity,340
2016,511,Cashell ES,Capacity,341
2000,512,Greenwood ES,Capacity,391
2001,512,Greenwood ES,Capacity,391
2002,512,Greenwood ES,Capacity,394
2003,512,Greenwood ES,Capacity,532
2004,512,Greenwood ES,Capacity,532
2005,512,Greenwood ES,Capacity,571
2006,512,Greenwood ES,Capacity,571
2007,512,Greenwood ES,Capacity,572
2008,512,Greenwood ES,Capacity,571
2009,512,Greenwood ES,Capacity,571
2010,512,Greenwood ES,Capacity,584
2011,512,Greenwood ES,Capacity,584
2012,512,Greenwood ES,Capacity,584
2013,512,Greenwood ES,Capacity,585
2014,512,Greenwood ES,Capacity,585
2015,512,Greenwood ES,Capacity,585
2016,512,Greenwood ES,Capacity,584
2000,513,Belmont ES,Capacity,391
2001,513,Belmont ES,Capacity,368
2002,513,Belmont ES,Capacity,368
2003,513,Belmont ES,Capacity,371
2004,513,Belmont ES,Capacity,371
2005,513,Belmont ES,Capacity,371
2006,513,Belmont ES,Capacity,415
2007,513,Belmont ES,Capacity,414
2008,513,Belmont ES,Capacity,415
2009,513,Belmont ES,Capacity,415
2010,513,Belmont ES,Capacity,425
2011,513,Belmont ES,Capacity,425
2012,513,Belmont ES,Capacity,425
2013,513,Belmont ES,Capacity,425
2014,513,Belmont ES,Capacity,424
2015,513,Belmont ES,Capacity,425
2016,513,Belmont ES,Capacity,426
2000,514,Judith A. Resnik ES,Capacity,505
2001,514,Judith A. Resnik ES,Capacity,545
2002,514,Judith A. Resnik ES,Capacity,545
2003,514,Judith A. Resnik ES,Capacity,577
2004,514,Judith A. Resnik ES,Capacity,493
2005,514,Judith A. Resnik ES,Capacity,498
2006,514,Judith A. Resnik ES,Capacity,498
2007,514,Judith A. Resnik ES,Capacity,508
2008,514,Judith A. Resnik ES,Capacity,503
2009,514,Judith A. Resnik ES,Capacity,531
2010,514,Judith A. Resnik ES,Capacity,503
2011,514,Judith A. Resnik ES,Capacity,503
2012,514,Judith A. Resnik ES,Capacity,493
2013,514,Judith A. Resnik ES,Capacity,523
2014,514,Judith A. Resnik ES,Capacity,493
2015,514,Judith A. Resnik ES,Capacity,493
2016,514,Judith A. Resnik ES,Capacity,498
2000,517,Sligo Creek ES,Capacity,496
2001,517,Sligo Creek ES,Capacity,496
2002,517,Sligo Creek ES,Capacity,559
2003,517,Sligo Creek ES,Capacity,575
2004,517,Sligo Creek ES,Capacity,499
2005,517,Sligo Creek ES,Capacity,474
2006,517,Sligo Creek ES,Capacity,566
2007,517,Sligo Creek ES,Capacity,556
2008,517,Sligo Creek ES,Capacity,561
2009,517,Sligo Creek ES,Capacity,556
2010,517,Sligo Creek ES,Capacity,594
2011,517,Sligo Creek ES,Capacity,665
2012,517,Sligo Creek ES,Capacity,665
2013,517,Sligo Creek ES,Capacity,665
2014,517,Sligo Creek ES,Capacity,664
2015,517,Sligo Creek ES,Capacity,647
2016,517,Sligo Creek ES,Capacity,664
2000,518,Brooke Grove ES,Capacity,487
2001,518,Brooke Grove ES,Capacity,487
2002,518,Brooke Grove ES,Capacity,487
2003,518,Brooke Grove ES,Capacity,477
2004,518,Brooke Grove ES,Capacity,477
2005,518,Brooke Grove ES,Capacity,537
2006,518,Brooke Grove ES,Capacity,517
2007,518,Brooke Grove ES,Capacity,530
2008,518,Brooke Grove ES,Capacity,543
2009,518,Brooke Grove ES,Capacity,543
2010,518,Brooke Grove ES,Capacity,543
2011,518,Brooke Grove ES,Capacity,544
2012,518,Brooke Grove ES,Capacity,544
2013,518,Brooke Grove ES,Capacity,531
2014,518,Brooke Grove ES,Capacity,531
2015,518,Brooke Grove ES,Capacity,518
2016,518,Brooke Grove ES,Capacity,517
2000,521,Shady Grove MS,Capacity,884
2001,521,Shady Grove MS,Capacity,884
2002,521,Shady Grove MS,Capacity,884
2003,521,Shady Grove MS,Capacity,871.25
2004,521,Shady Grove MS,Capacity,871.25
2005,521,Shady Grove MS,Capacity,884
2006,521,Shady Grove MS,Capacity,884
2007,521,Shady Grove MS,Capacity,854.25
2008,521,Shady Grove MS,Capacity,867
2009,521,Shady Grove MS,Capacity,875.5
2010,521,Shady Grove MS,Capacity,896.75
2011,521,Shady Grove MS,Capacity,896.75
2012,521,Shady Grove MS,Capacity,841.5
2013,521,Shady Grove MS,Capacity,867
2014,521,Shady Grove MS,Capacity,867
2015,521,Shady Grove MS,Capacity,858.5
2016,521,Shady Grove MS,Capacity,845.75
2004,522,Lakelands Park MS,Capacity,0
2005,522,Lakelands Park MS,Capacity,1057.4
2006,522,Lakelands Park MS,Capacity,1052.3
2007,522,Lakelands Park MS,Capacity,1068.45
2008,522,Lakelands Park MS,Capacity,1067.6
2009,522,Lakelands Park MS,Capacity,1067.6
2010,522,Lakelands Park MS,Capacity,1152.6
2011,522,Lakelands Park MS,Capacity,1120.3
2012,522,Lakelands Park MS,Capacity,1104.15
2013,522,Lakelands Park MS,Capacity,1122
2014,522,Lakelands Park MS,Capacity,1122
2015,522,Lakelands Park MS,Capacity,1138.15
2016,522,Lakelands Park MS,Capacity,1138.15
2000,523,Spark M. Matsunaga ES,Capacity,0
2001,523,Spark M. Matsunaga ES,Capacity,483
2002,523,Spark M. Matsunaga ES,Capacity,460
2003,523,Spark M. Matsunaga ES,Capacity,460
2004,523,Spark M. Matsunaga ES,Capacity,598
2005,523,Spark M. Matsunaga ES,Capacity,686
2006,523,Spark M. Matsunaga ES,Capacity,683
2007,523,Spark M. Matsunaga ES,Capacity,660
2008,523,Spark M. Matsunaga ES,Capacity,660
2009,523,Spark M. Matsunaga ES,Capacity,659
2010,523,Spark M. Matsunaga ES,Capacity,649
2011,523,Spark M. Matsunaga ES,Capacity,650
2012,523,Spark M. Matsunaga ES,Capacity,651
2013,523,Spark M. Matsunaga ES,Capacity,651
2014,523,Spark M. Matsunaga ES,Capacity,652
2015,523,Spark M. Matsunaga ES,Capacity,653
2016,523,Spark M. Matsunaga ES,Capacity,652
2000,545,Watkins Mill HS,Capacity,1867.5
2001,545,Watkins Mill HS,Capacity,1867.5
2002,545,Watkins Mill HS,Capacity,1867.5
2003,545,Watkins Mill HS,Capacity,1840.5
2004,545,Watkins Mill HS,Capacity,1863
2005,545,Watkins Mill HS,Capacity,1863
2006,545,Watkins Mill HS,Capacity,1836
2007,545,Watkins Mill HS,Capacity,1831.5
2008,545,Watkins Mill HS,Capacity,1804.5
2009,545,Watkins Mill HS,Capacity,1723.5
2010,545,Watkins Mill HS,Capacity,1876.5
2011,545,Watkins Mill HS,Capacity,1917
2012,545,Watkins Mill HS,Capacity,1894.5
2013,545,Watkins Mill HS,Capacity,1917
2014,545,Watkins Mill HS,Capacity,1906.2
2015,545,Watkins Mill HS,Capacity,1942.2
